Security_Name,Yahoo_Ticker
STEELCO GUJARAT LIMITED EQ NEW FV RS 10/- EQ NEW FV RS 10/-,STEELCOMPANY.NS
STURDY INDUSTRIES LIMITED EQ NEW F.V. RS.2/-,STURDY.NS
TEAM INDIA GUARANTY LIMITED EQ NEW EQ NEW,TEAM.NS
THE INDIAN CARD CLOTHING COMPANY LIMITED EQ EQ,THE.NS
TRANSPORT CORPORATION OF INDIA LIMITED NEW EQ RS. 2/- NEW EQ RS. 2/-,TRANSPORT.NS
ATV PROJECTS INDIA LIMITED EQ,ATV.NS
GOL OFFSHORE LIMITED EQ EQ,GOL.NS
GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED EQ NEW FV RS.2/-,GUJARAT.NS
INDIAN ACRYLICS LIMITED EQ EQ,INDIAN.NS
IOL CHEMICALS AND PHARMACEUTICALS LIMITED EQ NEW FV Rs.2/- EQ NEW FV Rs.2/-,IOL.NS
KIRLOSKAR FERROUS INDUSTRIES LTD EQ NEW FV RS.5/- EQ NEW FV RS.5/-,KIRLOSKAR.NS
KOTHARI FERMENTATION AND BIOCHEM LIMITED EQ EQ,KOTHARI.NS
LANCO INFRATECH LIMITED EQ NEW RE. 1/- EQ NEW RE. 1/-,LANCOMPANY.NS
LOTUS CHOCOLATE COMPANY LIMITED EQ EQ,LOTUS.NS
PCS TECHNOLOGY LIMITED EQ,PCS.NS
THE GREAT EASTERN SHIPPING COMPANY LIMITED EQ NEW FV RS.10/-,THE.NS
VIDEOCON INDUSTRIES LIMITED EQ EQ,VIDEOCOMPANYN.NS
ELANTAS BECK INDIA LIMITED EQ,ELANTAS.NS
FUTURISTIC OFFSHORE SERVICES AND CHEMICAL LIMITED EQ EQ,FUTURISTIC.NS
KHAITAN CHEMICALS AND FERTILIZERS LIMITED EQ NEW FV Re. 1/- EQ NEW FV Re. 1/-,KHAITAN.NS
MAFATLAL INDUSTRIES LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,MAFATLAL.NS
PHILIPS INDIA LIMITED EQ,PHILIPS.NS
REMI EDELSTAHL TUBULARS LIMITED EQ,REMI.NS
SIGNIFY INNOVATIONS INDIA LIMITED EQ,SIGNIFY.NS
USHA INDIA LIMITED EQ,USHA.NS
VERSUNI INDIA HOME SOLUTIONS LIMITED EQ,VERSUNI.NS
APTECH LIMITED EQ EQ,APTECH.NS
CHENNAI PETROLEUM CORPORATION LIMITED EQ EQ,CHENNAI.NS
GLAXOSMITHKLINE PHARMACEUTICALS LIMITED EQ EQ,GLAXOSMITHKLINE.NS
GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED EQ EQ,GUJARAT.NS
GUJARAT PETROSYNTHESE LIMITED EQ,GUJARAT.NS
J. K. CEMENT LIMITED. EQ EQ,J.NS
KIRLOSKAR ELECTRIC COMPANY LIMITED EQ,KIRLOSKAR.NS
NAYARA ENERGY LIMITED EQ,NAYARA.NS
G R INFRAPROJECTS LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,G.NS
HDB FINANCIAL SERVICES LIMITED EQ EQ,HDB.NS
HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED EQ EQ,HOUSING.NS
IFSL LIMITED EQ NEW FV RE. 1/-,IFSL.NS
INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED EQ EQ,INDIAN.NS
INDUSIND BANK LTD. EQ EQ,INDUSIND.NS
INVENTURUS KNOWLEDGE SOLUTIONS LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,INVENTURUS.NS
LG ELECTRONICS INDIA LIMITED EQ EQ,LG.NS
MAHANAGAR GAS LIMITED EQ,MAHANAGAR.NS
SAMMAAN FINSERVE LIMITED SR VII CAT III & IV 9.2 LOA 25SP28 FVRS1000 SR VII CAT III & IV 9.2 LOA 25SP28 FVRS1000,SAMMAAN.NS
TATA CAPITAL LIMITED EQ EQ,TATA.NS
THE ANUP ENGINEERING LIMITED EQ EQ,THE.NS
ADVANCED ENZYME TECHNOLOGIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,ADVANCED.NS
BANSWARA SYNTEX LIMITED EQ NEW FV RS.5/-,BANSWARA.NS
CAPRIHANS INDIA LIMITED EQ EQ,CAPRIHANS.NS
ELECTROSTEEL CASTINGS LIMITED EQ NEW RE.1/- EQ NEW RE.1/-,ELECTROSTEEL.NS
EVEREST INDUSTRIES LIMITED EQ EQ,EVEREST.NS
GREAVES COTTON LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,GREAVES.NS
HEXAWARE TECHNOLOGIES LIMITED EQ NEW FV RE 1/- EQ NEW FV RE 1/-,HEXAWARE.NS
IMEC SERVICES LIMITED EQ NEW FV RS 10/- EQ NEW FV RS 10/-,IMEC.NS
INTEGRA ESSENTIA LIMITED EQ NEW FV RE .1/- EQ NEW FV RE .1/-,INTEGRA.NS
JHAGADIA COPPER LIMITED EQ NEW,JHAGADIA.NS
JUBILANT AGRI AND CONSUMER PRODUCTS LIMITED EQ EQ,JUBILANT.NS
JUBILANT INGREVIA LIMITED EQ,JUBILANT.NS
JUBILANT PHARMOVA LIMITED EQ NEW FV RE.1/-,JUBILANT.NS
LAKSHMI PRECISION SCREWS LIMITED EQ EQ,LAKSHMI.NS
NAVIN FLUORINE INTERNATIONAL LTD EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,NAVIN.NS
NIPPON INDIA MUTUAL FUND ETF LIQUID BeES,NIPPON.NS
ORIENTAL AROMATICS LIMITED EQ NEW FV RS 5 /-,ORIENTAL.NS
SHALIMAR WIRES INDUSTRIES LIMITED EQ NEW F.V. RS.2/-,SHALIMAR.NS
SUMMIT SECURITIES LIMITED EQ EQ,SUMMIT.NS
SUNIL HEALTHCARE LIMITED EQ,SUNIL.NS
BROADCAST INITIATIVES LIMITED EQ,BROADCAST.NS
D. B. CORP LIMITED EQ. EQ.,D.NS
ESS DEE ALUMINIUM LIMITED EQ,ESS.NS
EVINIX ACCESSORIES LIMITED EQ NEW RS.1/-,EVINIX.NS
FIRSTSOURCE SOLUTIONS LIMITED EQ,FIRSTSOURCE.NS
INDIAN BANK EQ EQ,INDIAN.NS
INSECTICIDES (INDIA) LIMITED EQ EQ,INSECTICIDES.NS
IVRCL LIMITED EQ NEW FV RS. 2/-,IVRCL.NS
LUMAX AUTO TECHNOLOGIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,LUMAX.NS
MOTILAL OSWAL FINANCIAL SERVICES LIMITED EQ NEW RS.1/- EQ NEW RS.1/-,MOTILAL.NS
ORBIT CORPORATION LIMITED EQ,ORBIT.NS
PDS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,PDS.NS
PEARL GLOBAL INDUSTRIES LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,PEARL.NS
POCHIRAJU INDUSTRIES LIMITED EQ NEW FV RS.10/-,POCHIRAJU.NS
SMS LIFESCIENCES INDIA LIMITED EQ,SMS.NS
SMS PHARMACEUTICALS LIMITED EQ NEW FV Re.1/- EQ NEW FV Re.1/-,SMS.NS
SYNCOM HEALTHCARE LIMITED EQ EQ,SYNCOMPANYM.NS
TGB BANQUETS AND HOTELS LIMITED EQ,TGB.NS
THANGA MAYIL JEWELLERY LIMITED EQ EQ,THANGA.NS
TRANSINDIA REAL ESTATE LIMITED EQ NEW FV RS 2/-,TRANSINDIA.NS
VASCON ENGINEERS LIMITED EQ. EQ.,VASCOMPANYN.NS
