Security Name,Ticker
BAJAJ AUTO LIMITED EQ EQ,BAJAJ-AUTO.NS
TGB BANQUETS AND HOTELS LIMITED EQ,TGBHOTELS.NS
CAPLIN POINT LABORATORIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,CAPLIPOINT.NS
MTAR TECHNOLOGIES LIMITED EQ EQ,MTARTECH.NS
AVENUE SUPERMARTS LIMITED EQ,DMART.NS
PUNJ LLOYD LIMITED EQ NEW FV RS.2/-,PUNJLLOYD.NS
XCHANGING SOLUTIONS LIMITED EQ,XCHANGING.NS
NTPC LIMITED EQ,NTPC.NS
ESCORTS KUBOTA LIMITED EQ EQ,ESCORTS.NS
ACCENTIA TECHNOLOGIES LIMITED EQ,TATATECH.NS
MAZAGON DOCK SHIPBUILDERS LIMITED EQ NEW FV RS.5/- EQ NEW FV RS.5/-,MAZDOCK.NS
COCHIN SHIPYARD LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,COCHINSHIP.NS
MCX INDIA LIMITED EQ NEW RS. 10/-,MCX.NS
GREAVES COTTON LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,GREAVESCOT.NS
RAYMOND REALTY LIMITED EQ EQ,RAYMOND.NS
EVEREST INDUSTRIES LIMITED EQ EQ,EVERESTIND.NS
DR. LAL PATHLABS LIMITED EQ NEW FV RS. 10/- EQ NEW FV RS. 10/-,LALPATHLAB.NS
KSK ENERGY VENTURES LIMITED EQ EQ,KSK.NS
RELIANCE POWER LIMITED EQ. NEW RS. 10 EQ. NEW RS. 10,RPOWER.NS
THE NEW INDIA ASSURANCE COMPANY LIMITED EQ,NIACL.NS
MAHINDRA EPC IRRIGATION LIMITED EQ EQ,MAHEPC.NS
NAZARA TECHNOLOGIES LTD.,NAZARA.NS
REC LIMITED EQ,RECLTD.NS
PRECISION CAMSHAFTS LIMITED EQ NEW FV RS. 10/-,PRECISION.NS
UTI ASSET MANAGEMENT COMPANY LIMITED EQ EQ,UTIAMC.NS
SHALBY LIMITED EQ,SHALBY.NS
GARWARE TECHNICAL FIBRES LIMITED EQ EQ,GARFIBRES.NS
HIMADRI SPECIALITY CHEMICAL LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,HSCL.NS
FILATEX INDIA LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,FILATEX.NS
JUBILANT INGREVIA LIMITED EQ,JUBLINGREA.NS
NAZARA TECHNOLOGIES LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,NAZARA.NS
HINDALCO INDUSTRIES LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,HINDALCO.NS
SUN PHARMA ADVANCED RESEARCH COMPANY LIMITED EQ,SPARC.NS
L&T TECHNOLOGY SERVICES LIMITED EQ EQ,LTTS.NS
ZEE ENTERTAINMENT ENTERPRISES LIMITED EQ F.V.RE.1 EQ F.V.RE.1,ZEEL.NS
ISGEC HEAVY ENGINEERING LIMITED EQ NEW FV RS 1 /,ISGEC.NS
UNION BANK OF INDIA EQ EQ,UNIONBANK.NS
ENGINEERS INDIA LIMITED EQ NEW F.V. RS.5/-,ENGINERSIN.NS
COAL INDIA LTD EQ EQ,COALINDIA.NS
INDIAN ENERGY EXCHANGE LIMITED EQ NEW FV RS 1 EQ NEW FV RS 1,IEX.NS
GARWARE HI-TECH FILMS LIMITED EQ,GRWRHITECH.NS
JAIPRAKASH POWER VENTURES LIMITED EQ,JPPOWER.NS
JAY SHREE TEA AND INDUSTRIES LIMITED EQ NEW F.V. RS.5/- EQ NEW F.V. RS.5/-,JAYSREETEA.NS
HEIDELBERGCEMENT INDIA LIMITED EQ,HEIDELBERG.NS
INOX INDIA LIMITED EQ NEW FV RS.2/-,INOXINDIA.NS
THYROCARE TECHNOLOGIES LIMITED EQ EQ,THYROCARE.NS
ITC LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,ITC.NS
RATTANINDIA POWER LIMITED EQ,RTNPOWER.NS
SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED EQ EQ,SCHNEIDER.NS
INOX WIND LIMITED EQ EQ,INOXWIND.NS
SONA BLW PRECISION FORGINGS LIMITED EQ EQ,SONACOMS.NS
TAMILNADU PETROPRODUCTS LIMITED EQ,TNPETRO.NS
ARVIND FASHIONS LIMITED (FORMERLY ARVIND J&M LIMITED) EQ NEW FV RS. 4/- EQ NEW FV RS. 4/-,ARVIND.NS
ACC LIMITED EQ F.V. RS.10,ACC.NS
SASTASUNDAR VENTURES LIMITED EQ,SASTASUNDR.NS
GOPAL SNACKS LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,GOPAL.NS
SUMMIT SECURITIES LIMITED EQ EQ,SUMMITSEC.NS
PATEL INTEGRATED LOGISTICS LIMITED (CN) EQ EQ,PATINTLOG.NS
ABAN OFFSHORE LIMITED EQ NEW FV RS.2/-,ABAN.NS
THE TATA POWER COMPANY LIMITED EQ NEW FV Re.1/- EQ NEW FV Re.1/-,TATAPOWER.NS
CEAT LIMITED EQ NEW RS.10 EQ NEW RS.10,CEATLTD.NS
FINOLEX CABLES LIMITED NEW EQ RS. 2/-,FINCABLES.NS
CENTURY ENKA LIMITED EQ,CENTENKA.NS
INDO COUNT INDUSTRIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,ICIL.NS
BRITANNIA INDUSTRIES LTD EQ NEW FV RS 1 EQ NEW FV RS 1,BRITANNIA.NS
BHARAT ELECTRONICS LIMITED EQ NEW FV Re 1/-,BEL.NS
ASTER DM HEALTHCARE LIMITED EQ EQ,ASTERDM.NS
SHANTI GOLD INTERNATIONAL LIMITED EQ EQ,SHANTI.NS
GOKUL AGRO RESOURCES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,GOKUL.NS
PATEL ENGINEERING LIMITED EQ NEW FV RE.1 EQ NEW FV RE.1,PATELENG.NS
TCFC FINANCE LIMITED EQ,TCIFINANCE.NS
EXPLEO SOLUTIONS LIMITED EQ,EXPLEOSOL.NS
FUSION FINANCE LIMITED,FUSION.NS
SUTLEJ TEXTILES AND INDUSTRIES LIMITED EQ NEW F RE. 1/- EQ NEW F RE. 1/-,SUTLEJTEX.NS
RAYMOND LIMITED EQ,RAYMOND.NS
TATA TECHNOLOGIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,TATATECH.NS
GUJARAT INDUSTRIES POWER COMPANY LTD. EQ EQ,GIPCL.NS
RBL BANK LIMITED EQ EQ,RBL.BO
NATIONAL FERTILIZERS LIMITED EQ,NFL.NS
RELIGARE ENTERPRISES LIMITED EQ EQ,RELIGARE.NS
DCB BANK LIMITED EQ EQ,DCBBANK.NS
LAKSHMI PRECISION SCREWS LIMITED EQ EQ,LAKPRE.NS
LATENT VIEW ANALYTICS LIMITED EQ EQ,LATENTVIEW.NS
BIRLANU LIMITED EQ EQ,BIRLANU.BO
SHRI DINESH MILLS LIMITED EQ NEW RS. 10/- EQ NEW RS. 10/-,SHREDIGCEM.NS
RELIANCE INDUSTRIES LIMITED EQ EQ,RELIANCE.NS
STYRENIX PERFORMANCE MATERIALS LIMITED EQ,STYRENIX.NS
UPL LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,UPL.NS
ULTRATECH CEMENT LIMITED EQ EQ,ULTRACEMCO.NS
STEEL AUTHORITY OF INDIA LIMITED EQ,SAIL.NS
JSW ENERGY LIMITED EQ EQ,JSWENERGY.NS
NMDC STEEL LIMITED EQ,NSLNISP.NS
RITES LIMITED EQ EQ,RITES.NS
POWER FINANCE CORPORATION LIMITED 7.36 BD 04JN28 FVRS1000 7.36 BD 04JN28 FVRS1000,PFC.NS
HDFC MUTUAL FUND DEFENCE  FUND REGULAR PLAN  GROWTH,HFCL.NS
KOTAK MAHINDRA BANK LIMITED EQ NEW F.V RS.5/- EQ NEW F.V RS.5/-,KOTAKBANK.NS
GLENMARK PHARMACEUTICALS LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,GLENMARK.NS
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,CGPOWER.NS
EQUITAS SMALL FINANCE BANK LIMITED EQ EQ,EQUITASBNK.NS
BALKRISHNA INDUSTRIES LIMITED EQ NEW F.V RS.2/- EQ NEW F.V RS.2/-,BALKRISIND.NS
EXIDE INDUSTRIES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,EXIDEIND.NS
ASHIMA LIMITED EQ EQ,ASHIMASYN.NS
ADANI GREEN ENERGY LIMITED EQ EQ,ADANIGREEN.NS
DYNAMIC INDUSTRIES LIMITED EQ,DYNAMIC.NS
PRIMO CHEMICALS LIMITED EQ NEW FV RS. 2/-,PRIMO.BO
ARCH PHARMALABS LIMITED EQ,AARTIPHARM.NS
TITAGARH RAIL SYSTEMS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,TITAGARH.NS
DEN NETWORKS LIMITED EQ,DEN.NS
DILIGENT MEDIA CORPORATION LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,DNAMEDIA.NS
LAURUS LABS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,LAURUSLABS.NS
SHRIRAM FINANCE LIMITED EQ NEW FV RE.2/- EQ NEW FV RE.2/-,SHRIRAMFIN.NS
NARAYANA HRUDAYALAYA LIMITED EQ EQ,NH.NS
WALCHANDNAGAR INDUSTRIES LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,WALCHANNAG.NS
PB FINTECH LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,POLICYBZR.NS
INDUSIND BANK LTD. EQ EQ,INDUSINDBK.NS
SNOWMAN LOGISTICS LIMITED EQ,SNOWMAN.NS
LUPIN LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,LUPIN.NS
TAKE SOLUTIONS LIMITED EQ NEW RE.1/-,TAKE.NS
HFCL LIMITED EQ NEW F.V.RE.1/- EQ NEW F.V.RE.1/-,HFCL.NS
BIRLASOFT LIMITED NEW EQ RS. 2/- NEW EQ RS. 2/-,BSOFT.NS
NAVKAR CORPORATION LIMITED EQ EQ,NAVKARCORP.NS
POLYPLEX CORPORATION LIMITED EQ,POLYPLEX.NS
COLGATE-PALMOLIVE (INDIA) LIMITED EQ NEW FV RS.1/-,COLPAL.NS
PERSISTENT SYSTEMS LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,PERSISTENT.NS
ROUTE MOBILE LIMITED EQ EQ,ROUTE.NS
TITAN COMPANY LIMITED EQ NEW Re.1/- EQ NEW Re.1/-,TITAN.NS
NBCC (INDIA) LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,NBCC.NS
INDOWIND ENERGY LIMITED EQ EQ,INDOWIND.NS
SADBHAV ENGINEERING LIMITED EQ NEW F.V RE.1/-,SADBHAV.NS
MAHANAGAR GAS LIMITED EQ,MGL.NS
AURO LABORATORIES LIMITED EQ,ARVEE.NS
PUNJAB AND SIND BANK EQ,PSB.NS
EDELWEISS FINANCIAL SERVICES LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,EDELWEISS.NS
COMPUTER AGE MANAGEMENT SERVICES LIMITED EQ EQ,CAMS.NS
ZEE MEDIA CORPORATION LIMITED EQ,ZEEMEDIA.NS
SHYAM METALICS AND ENERGY LIMITED EQ EQ,SHYAMMETL.NS
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED EQ EQ,ICICIPRULI.NS
RATNAMANI METALS AND TUBES LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,RATNAMANI.NS
LLOYDS ENGINEERING WORKS LIMITED EQ EQ,LLOYDSENGG.NS
JSW INFRASTRUCTURE LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,JSWINFRA.NS
CARTRADE TECH LIMITED EQ EQ,CARTRADE.NS
LIFE INSURANCE CORPORATION OF INDIA EQ,LICI.NS
WINDSOR MACHINES LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,WINDMACHIN.NS
INFO EDGE (INDIA) LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,NAUKRI.NS
IDFC FIRST BANK LIMITED EQ EQ,IDFCFIRSTB.NS
CENTRAL BANK OF INDIA EQ EQ,CENTRALBK.NS
TATA MOTORS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,TATAMOTORS.NS
UNITECH LIMITED EQ NEW FV RS.2/-,UNITECH.NS
HINDUSTAN AERONAUTICS LIMITED EQ NEW FV RS 5/-,HAL.NS
SBI CARDS AND PAYMENT SERVICES LIMITED EQ EQ,SBICARD.NS
BHARTI AIRTEL LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,BHARTIARTL.NS
KALPATARU PROJECTS INTERNATIONAL LIMITED EQ NEW F.V RS.2/- EQ NEW F.V RS.2/-,KPIL.NS
VESUVIUS INDIA LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,VESUVIUS.NS
JK TYRE & INDUSTRIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,JKTYRE.NS
MICRO TECHNOLOGIES INDIA LIMITED EQ,DIXON.NS
INFIBEAM AVENUES LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,INFIBEAM.NS
ALEMBIC PHARMACEUTICALS LIMITED EQ,APLLTD.NS
GOKUL REFOILS AND SOLVENT LIMITED EQ NEW F.V. RS.2/-,GOKUL.NS
LTIMINDTREE LIMITED EQ EQ,LTIM.NS
LG ELECTRONICS INDIA LIMITED EQ EQ,EMIL.NS
WELSPUN INVESTMENTS AND COMMERCIALS LIMITED EQ EQ,WELINV.NS
DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LTD EQ EQ,DEEPAKFERT.NS
CHENNAI PETROLEUM CORPORATION LIMITED EQ EQ,CHENNPETRO.NS
ZENSAR TECHNOLOGIES LIMITED EQ NEW FV RS. 2 EQ NEW FV RS. 2,ZENSARTECH.NS
S.A.L STEEL LIMITED EQ,SALSTEEL.NS
THE ANUP ENGINEERING LIMITED EQ EQ,ANUP.NS
MOREPEN LABORATORIES LIMITED EQ F.V.RS.2 EQ F.V.RS.2,MOREPENLAB.NS
RATTANINDIA ENTERPRISES LIMITED EQ,RTNINDIA.NS
PVR INOX LIMITED EQ EQ,PVRINOX.NS
FORTIS HEALTHCARE LIMITED EQ EQ,FORTIS.NS
OIL INDIA LIMITED EQ EQ,OIL.NS
S CHAND AND COMPANY LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,SCHAND.NS
JAIN IRRIGATION SYSTEMS LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,JISLJALEQS.NS
TATA STEEL LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,TATASTEEL.NS
DIVI'S LABORATORIES LIMITED EQ NEW RS. 2/-,DIVISLAB.NS
BIOCON LIMITED EQ EQ,BIOCON.NS
PRAKASH INDUSTRIES LIMITED EQ,PRAKASH.NS
PLETHICO PHARMACEUTICALS LIMITED EQ,APLLTD.NS
EICHER MOTORS LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,EICHERMOT.NS
R SYSTEMS INTERNATIONAL LIMITED EQ NEW FV Re.1/- EQ NEW FV Re.1/-,RSYSTEMS.NS
LIC HOUSING FINANCE LTD EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,LICHSGFIN.NS
VEDANTA LIMITED EQ NEW RS.1/- EQ NEW RS.1/-,VEDL.NS
GUJARAT FLUOROCHEMICALS LIMITED EQ EQ,FLUOROCHEM.NS
NOCIL LIMITED EQ EQ,NOCIL.NS
MAHINDRA AND MAHINDRA LIMITED EQ NEW F.V. RS.5 EQ NEW F.V. RS.5,M&M.NS
DIXON TECHNOLOGIES (INDIA) LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,DIXON.NS
G R INFRAPROJECTS LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,GRINFRA.NS
JK LAKSHMI CEMENT LIMITED EQ NEW RS.5/-,JKLAKSHMI.NS
INSECTICIDES (INDIA) LIMITED EQ EQ,INSECTICID.NS
L&T FINANCE LIMITED EQ EQ,LTF.NS
MARICO LIMITED NEW EQ RE.1 NEW EQ RE.1,MARICO.NS
AIA ENGINEERING LIMITED EQ NEW RE.2/- EQ NEW RE.2/-,AIAENG.NS
HINDUSTAN UNILEVER LIMITED EQ F.V. RS 1,HINDUNILVR.NS
TATA TELESERVICES (MAHARASHTRA) LTD EQ EQ,TTML.NS
Total,TOTAL.NS
ADANI ENTERPRISES LIMITED EQ NEW FV RE.1/-,ADANIENT.NS
BLUE STAR LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,BLUESTARCO.NS
BERGER PAINTS INDIA LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,BERGEPAINT.NS
HATHWAY CABLE AND DATACOM LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,HATHWAY.NS
NTPC LIMITED SR-1B 7.36 BD 05OT25 FVRS1000,NTPC.NS
RELIANCE COMMUNICATIONS LIMITED EQ,RCOM.NS
NMDC LIMITED EQ NEW RS.1/- EQ NEW RS.1/-,NMDC.NS
ADANI POWER LIMITED EQ NEW FV Rs.2/- EQ NEW FV Rs.2/-,ADANIPOWER.NS
CSB BANK LIMITED EQ,CSBBANK.NS
PIX TRANSMISSIONS LIMITED EQ,PIXTRANS.NS
HAVELLS INDIA LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,HAVELLS.NS
TECH MAHINDRA LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,TECHM.NS
MONICA ELECTRONICS LIMITED EQ,MICEL.NS
SIEMENS ENERGY INDIA LIMITED EQ EQ,SIEMENS.NS
CIPLA LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,CIPLA.NS
INFOSYS LIMITED EQ FV RS 5 EQ FV RS 5,INFY.NS
INDOCO REMEDIES LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,INDOCO.NS
GLAXOSMITHKLINE PHARMACEUTICALS LIMITED EQ EQ,GLAXO.NS
RELIANCE INDUSTRIAL INFRASTRUCTURE LIMITED EQ,RIIL.NS
KHADIM INDIA LIMITED EQ NEW FV RS. 10/- EQ NEW FV RS. 10/-,KHADIM.NS
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED EQ NEW FV RS. 2/-,IRCTC.NS
SAMBHAAV MEDIA LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,SAMBHAAV.NS
PROTEAN EGOV TECHNOLOGIES LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,PROTEAN.BO
VODAFONE IDEA LIMITED EQ EQ,IDEA.NS
EDUCOMP SOLUTIONS LIMITED EQ NEW F.V. RS.2/-,EDUCOMP.NS
KIRLOSKAR ELECTRIC COMPANY LIMITED EQ,KECL.NS
TCI DEVELOPERS LIMITED EQ,TCI.NS
THE INDIAN CARD CLOTHING COMPANY LIMITED EQ EQ,INDIANCARD.NS
GUJARAT STATE PETRONET LIMITED EQ EQ,GSPL.NS
OPAL INDUSTRIES LIMITED EQ,OPAL.NS
NAHAR INDUSTRIAL ENTERPRISES LIMITED EQ EQ,NAHARINDUS.NS
GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED EQ EQ,GNFC.NS
RALLIS INDIA LIMITED EQ NEW Re. 1/- EQ NEW Re. 1/-,RALLIS.NS
ITI LIMITED EQ,ITI.NS
ADANI ENERGY SOLUTIONS LIMITED EQ EQ,ADANIENSOL.NS
IDBI BANK LIMITED EQ,IDBI.NS
ICSA (INDIA) LTD EQ NEW RS. 2/-,ICSA.NS
GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED EQ,GRSE.NS
