Security Name,Ticker
NATIONAL ALUMINIUM COMPANY LIMITED EQ NEW F.V. RS.5/- EQ NEW F.V. RS.5/-,NATIONALUM.NS
NBCC (INDIA) LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,NBCC.NS
NMDC LIMITED EQ NEW RS.1/- EQ NEW RS.1/-,NMDC.NS
NMDC STEEL LIMITED EQ,NSLNISP.NS
NOCIL LIMITED EQ EQ,NOCIL.NS
OLECTRA GREENTECH LIMITED EQ,OLECTRA.NS
RAIL VIKAS NIGAM LIMITED EQ,RVNL.NS
RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED EQ EQ,RCF.NS
SADBHAV ENGINEERING LIMITED EQ NEW F.V RE.1/-,SADBHAV.NS
SALZER ELECTRONICS LIMITED EQ EQ,SALZERELEC.NS
STEEL AUTHORITY OF INDIA LIMITED EQ,SAIL.NS
TITAGARH RAIL SYSTEMS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,TITAGARH.NS
UNION BANK OF INDIA EQ EQ,UNIONBANK.NS
UNO MINDA LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,UNOMINDA.NS
YES BANK LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,YESBANK.NS
ADANI ENERGY SOLUTIONS LIMITED EQ EQ,ADANIENSOL.NS
ADANI GREEN ENERGY LIMITED EQ EQ,ADANIGREEN.NS
ADITYA BIRLA REAL ESTATE LIMITED EQ EQ,ABREL.NS
BHARAT DYNAMICS LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,BDL.NS
CONTAINER CORPORATION OF INDIA LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,CONCOR.NS
DATA PATTERNS (INDIA) LIMITED EQ EQ,DATAPATTNS.NS
DEN NETWORKS LIMITED EQ,DEN.NS
HATHWAY CABLE AND DATACOM LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,HATHWAY.NS
INDIAN OIL CORPORATION LIMITED EQ,IOC.NS
IRCON INTERNATIONAL LIMITED EQ NEW FV RS. 2/-,IRCON.NS
LIFE INSURANCE CORPORATION OF INDIA EQ,LICI.NS
MTAR TECHNOLOGIES LIMITED EQ EQ,MTARTECH.NS
NETWORK18 MEDIA & INVESTMENTS LIMITED EQ EQ,NETWORK18.NS
