Security_Name,NSE_Symbol
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED EQ EQ,ICICIPRULI
IDFC FIRST BANK LIMITED EQ EQ,IDFCFIRSTB
INDIA PESTICIDES LIMITED. EQ NEW FV Re. 1/- EQ NEW FV Re. 1/-,IPL
INDIAN RAILWAY FINANCE CORPORATION LIMITED EQ,IRFC
INFOSYS LIMITED EQ FV RS 5 EQ FV RS 5,INFY
JSW INFRASTRUCTURE LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,JSWINFRA
KAASHYAP TECHNOLOGIES LIMITED EQ NEW FV RE. 1/-,AAATECH
KALPATARU PROJECTS INTERNATIONAL LIMITED EQ NEW F.V RS.2/- EQ NEW F.V RS.2/-,KPIL
MONTE CARLO FASHIONS LIMITED EQ EQ,MONTECARLO
MOREPEN LABORATORIES LIMITED EQ F.V.RS.2 EQ F.V.RS.2,MOREPENLAB
NHPC LIMITED EQ EQ,NHPC
OIL AND NATURAL GAS CORPORATION LIMITED EQ NEW F.V RS.5/- EQ NEW F.V RS.5/-,ONGC
OIL INDIA LIMITED EQ EQ,OIL
OSWAL GREENTECH LIMITED EQ,OSWALGREEN
PATEL ENGINEERING LIMITED EQ NEW FV RE.1 EQ NEW FV RE.1,PATELENG
PNB HOUSING FINANCE LIMITED EQ EQ,PNBHOUSING
POWER FINANCE CORPORATION LIMITED EQ EQ,PFC
PRECISION CAMSHAFTS LIMITED EQ NEW FV RS. 10/-,PRECAM
SANSTAR LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,SANSTAR
SARASWATI SAREE DEPOT LIMITED EQ EQ,SSDL
SHIPPING CORPORATION OF INDIA LAND AND ASSETS LIMITED EQ EQ,SCILAL
SHYAM METALICS AND ENERGY LIMITED EQ EQ,SHYAMMETL
STANDARD INDUSTRIES LIMITED EQ,SIL
STATE BANK OF INDIA EQ NEW RE. 1/- EQ NEW RE. 1/-,SBIN
TAKE SOLUTIONS LIMITED EQ NEW RE.1/-,TAKE
TAMILNADU PETROPRODUCTS LIMITED EQ,TNPETRO
TATA MOTORS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,TATAMOTORS
THE SHIPPING CORPORATION OF INDIA LIMITED EQ EQ,SCI
ULTRATECH CEMENT LIMITED EQ EQ,ULTRACEMCO
UTI ASSET MANAGEMENT COMPANY LIMITED EQ EQ,UTIAMC
VEDANTA LIMITED EQ NEW RS.1/- EQ NEW RS.1/-,VEDL
VIKRAM SOLAR LIMITED EQ EQ,VIKRAMSOLR
VISHNU PRAKASH R PUNGLIA LIMITED EQ,VPRPL
WIPRO LIMITED EQ F.V. RS. 2 EQ F.V. RS. 2,WIPRO
ASHIMA LIMITED EQ EQ,ASHIMASYN
PATEL INTEGRATED LOGISTICS LIMITED (CN) EQ EQ,PATINTLOG
RATNAMANI METALS AND TUBES LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,RATNAMANI
SUPREME PETROCHEM LIMITED EQ NEW FV RE.2/-,SPLPETRO
ADITYA BIRLA CAPITAL LIMITED EQ EQ,ABCAPITAL
SHRIRAM PISTONS & RINGS LIMITED EQ,SHRIPISTON
WINDSOR MACHINES LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,WINDMACHIN
DREDGING CORPORATION OF INDIA LIMITED EQ EQ,DREDGECORP
GAIL (INDIA) LIMITED EQ,GAIL
ADANI POWER LIMITED EQ NEW FV Rs.2/- EQ NEW FV Rs.2/-,ADANIPOWER
ADANI TOTAL GAS LIMITED EQ NEW FV RE. 1/-,ATGL
BIRLASOFT LIMITED NEW EQ RS. 2/- NEW EQ RS. 2/-,BSOFT
CENTRAL BANK OF INDIA EQ EQ,CENTRALBK
CITY UNION BANK LIMITED EQ NEW RS. 1/- EQ NEW RS. 1/-,CUB
DCB BANK LIMITED EQ EQ,DCBBANK
DISHMAN CARBOGEN AMCIS LIMITED EQ EQ,DCAL
ENGINEERS INDIA LIMITED EQ NEW F.V. RS.5/-,ENGINERSIN
INDO COUNT INDUSTRIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,ICIL
LUPIN LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,LUPIN
NATIONAL ALUMINIUM COMPANY LIMITED EQ NEW F.V. RS.5/- EQ NEW F.V. RS.5/-,NATIONALUM
NBCC (INDIA) LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,NBCC
NMDC LIMITED EQ NEW RS.1/- EQ NEW RS.1/-,NMDC
NMDC STEEL LIMITED EQ,NSLNISP
NOCIL LIMITED EQ EQ,NOCIL
OLECTRA GREENTECH LIMITED EQ,OLECTRA
RAIL VIKAS NIGAM LIMITED EQ,RVNL
RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED EQ EQ,RCF
SADBHAV ENGINEERING LIMITED EQ NEW F.V RE.1/-,SADBHAV
SALZER ELECTRONICS LIMITED EQ EQ,SALZERELEC
SHREE RENUKA SUGARS LIMITED EQ NEW RS.1/-,RENUKA
STEEL AUTHORITY OF INDIA LIMITED EQ,SAIL
TITAGARH RAIL SYSTEMS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,TITAGARH
UNION BANK OF INDIA EQ EQ,UNIONBANK
UNO MINDA LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,UNOMINDA
YES BANK LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,YESBANK
ADANI ENERGY SOLUTIONS LIMITED EQ EQ,ADANIENSOL
ADANI GREEN ENERGY LIMITED EQ EQ,ADANIGREEN
ADITYA BIRLA REAL ESTATE LIMITED EQ EQ,ABREL
ASTRA MICROWAVE PRODUCTS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,ASTRAMICRO
BHARAT DYNAMICS LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,BDL
CONTAINER CORPORATION OF INDIA LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,CONCOR
DATA PATTERNS (INDIA) LIMITED EQ EQ,DATAPATTNS
DEN NETWORKS LIMITED EQ,DEN
HATHWAY CABLE AND DATACOM LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,HATHWAY
INDIAN ENERGY EXCHANGE LIMITED EQ NEW FV RS 1 EQ NEW FV RS 1,IEX
INDIAN OIL CORPORATION LIMITED EQ,IOC
INDUS TOWERS LIMITED EQ EQ,INDUSTOWER
IRCON INTERNATIONAL LIMITED EQ NEW FV RS. 2/-,IRCON
JAIN IRRIGATION SYSTEMS LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,JISLJALEQS
LIFE INSURANCE CORPORATION OF INDIA EQ,LICI
MAZAGON DOCK SHIPBUILDERS LIMITED EQ NEW FV RS.5/- EQ NEW FV RS.5/-,MAZDOCK
MTAR TECHNOLOGIES LIMITED EQ EQ,MTARTECH
NETWORK18 MEDIA & INVESTMENTS LIMITED EQ EQ,NETWORK18
PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED EQ NEW FV Rs.5/- EQ NEW FV Rs.5/-,PARAS
RALLIS INDIA LIMITED EQ NEW Re. 1/- EQ NEW Re. 1/-,RALLIS
